soc_code_2019,title,task_comp_nat,task_comp_ut,freq_sum_eco,importance,relevance,tot_emp_nat,tot_emp_ut,major_group_code,major_occ_category,a_med_nat,h_med_nat,a_med_ut,h_med_ut,ai_task_comp_nat,ai_task_comp_ut,freq_sum_ai,code_changed,title_changed,code_or_title_changed,code_and_title_changed,pct_automated_nat,pct_automated_ut,people_automated_nat,people_automated_ut,eco_value_nat,eco_value_ut,ut_share_of_nat,ut_concentration_index
11-9121.02,Water Resource Specialists,996863.9141999999,11365.059,9.88266,3.505714285714286,93.07190476190476,100870.0,1150.0,11,Management Occupations,161180.0,77.49,117190.0,56.34,12311.039477076922,420.965721,4.454530384615384,False,False,False,False,1.2349769413568088,3.704034629296689,1245.7212407466131,14.2022348256033,200785349.5835391,1664359.8992124507,0.034194165471066476,2.7113847153124757
11-9131.00,Postmasters and Mail Superintendents,301335.21450384613,2400.208080769231,21.820073461538463,4.1269230769230765,70.48692307692308,13810.0,110.0,11,Management Occupations,92730.0,44.58,94720.0,45.54,219023.9357323077,1744.5787784615386,20.837306153846153,False,False,False,False,72.68448066812721,72.68448066812721,10037.726780268367,79.95292873493992,930798404.3342857,7573141.409773509,0.007965242577842143,0.6315942115210145
11-9141.00,"Property, Real Estate, and Community Association Managers",4577611.797415385,49535.24093076923,15.43153923076923,3.9722222222222223,77.22222222222223,296640.0,3210.0,11,Management Occupations,66700.0,32.07,59100.0,28.42,2519658.8365292307,27265.72567846154,13.296620769230769,False,False,False,False,55.043086833004985,55.04308683300499,163279.812781426,1766.88308733946,10890763512.521114,104422790.46176209,0.010821197411003236,0.8580536725307604
11-9151.00,Social and Community Service Managers,3901607.0141,40315.341799999995,19.95809,3.915625,77.901875,195490.0,2020.0,11,Management Occupations,78240.0,37.61,77600.0,37.31,1564294.5287646153,16163.870009230768,15.217308846153845,False,False,False,False,40.093595359845786,40.09359535984579,78378.96956896252,809.8906262688848,6132370579.075627,62847512.598465465,0.010333009361092639,0.8193433955437164
11-9161.00,Emergency Management Directors,52149.507092307686,746.7709846153845,4.148727692307691,3.8552173913043477,94.66347826086958,12570.0,180.0,11,Management Occupations,86130.0,41.41,79750.0,38.34,19164.34093153846,274.42970307692303,3.2195180769230762,False,False,False,False,36.74884385314793,36.74884385314794,4619.329672340695,66.14791893566627,397862864.678704,5275296.5351193845,0.01431980906921241,1.1354718239668313
11-9171.00,Funeral Home Managers,206782.37723076923,2679.3448269230767,15.760851923076922,3.978695652173913,90.83826086956523,13120.0,170.0,11,Management Occupations,76830.0,36.94,89060.0,42.82,88782.82816246155,1150.3872551538461,12.40103751923077,True,True,True,True,42.93539389160802,42.93539389160802,5633.123678578973,72.99016961573363,432792892.2252225,6500504.505977238,0.01295731707317073,1.0274346801468164
11-9179.01,Fitness and Wellness Coordinators,204348.30261923076,2259.7143092307692,19.480295769230768,3.82625,91.34541666666667,10490.0,116.0,11,Management Occupations,61340.0,29.49,59840.0,28.77,41843.511374230766,462.7118512307692,15.351188076923076,True,False,True,False,20.476564198430964,20.47656419843096,2147.991584415408,23.75281447017992,131757803.78804113,1421368.4178955664,0.01105815061963775,0.8768425886889716
11-9179.02,Spa Managers,427354.80108846154,4725.753758461538,40.73925653846154,4.081428571428571,90.75333333333333,10490.0,116.0,11,Management Occupations,61340.0,29.49,59840.0,28.77,159346.17478038464,1762.0740013846155,37.723969230769235,True,False,True,False,37.2866232869115,37.2866232869115,3911.366782797016,43.252483012817336,239923238.45676896,2588228.5834869896,0.01105815061963775,0.8768425886889716
11-9199.01,Regulatory Affairs Managers,6081092.562353846,58692.595176923074,9.637536153846153,3.867037037037037,92.75296296296295,630980.0,6090.0,11,Management Occupations,136550.0,65.65,136550.0,65.65,481810.57637461525,27901.61092384615,7.382571538461538,False,False,False,False,7.923092296890115,47.538553781340696,49993.12777491725,482.51632088060796,6826561597.66495,65887603.61624702,0.05790991790548037,4.591896427675051
11-9199.02,Compliance Managers,14167251.726815384,136737.3974076923,22.452774615384616,3.949655172413793,72.49206896551723,630980.0,6090.0,11,Management Occupations,136550.0,65.65,136550.0,65.65,1272983.9346036839,73718.39514789474,18.272118259109313,False,False,False,False,8.98539786791686,53.91238720750117,56696.063466981796,547.2107301561367,7741847466.416364,74721625.20282046,0.05790991790548038,4.591896427675052
